,id,track_name,artist_name,artist_pop,artist_genres,album,track_pop,valence,energy,danceability,loudness,speechiness,acousticness,instrumentalness,liveness,mode,key,tempo,duration_ms,time_signature,mood
0,1ThimNSQgoMARtEn1Qmyzg,Daltonians,Birds in Row,38,chaotic hardcore,Gris Klein,38,0.359,0.96,0.392,-4.778,0.0908,6.75e-06,0.0268,0.616,0,5,95.023,143853,4,angry
1,2QDJ3z3tndtFJJo9nJ2lcB,2022,L.S. Dunes,49,dreamo,Past Lives,48,0.417,0.962,0.325,-2.587,0.0448,1.41e-05,0.0253,0.367,0,2,178.491,270712,3,angry
2,3Nci1QnAWOCUACgs8FdPzE,ego death,foxtails,34,connecticut indie,fawn,23,0.0664,0.727,0.294,-8.262,0.0406,5.57e-05,0.253,0.588,0,6,89.93,127938,4,angry
3,4hAPiyiwGAlIKP53qfmDuN,Closet,Fleshwater,46,dreamo,We're Not Here to Be Loved,47,0.386,0.931,0.269,-3.453,0.0905,3.39e-05,0.0184,0.409,1,11,108.984,122266,4,angry
4,7unmH3frGOaKtko1tRnZGV,NYAMA,Backxwash,34,lgbtq+ hip hop,HIS HAPPINESS SHALL COME FIRST EVEN THOUGH WE ARE SUFFERING,32,0.179,0.98,0.486,-5.184,0.278,0.215,0.0,0.261,1,9,130.191,262619,4,angry
5,2HbgqptyWuPv18Jo4ODodf,Where the Heart Is,Sweet Pill,36,alternative emo,Where the Heart Is,44,0.626,0.827,0.607,-6.323,0.0448,0.000543,2.99e-05,0.184,1,2,102.55,151422,4,angry
6,2K3GVvfPSkFj5ZxjyCVmum,knots,Quadeca,59,unknown,I Didn't Mean To Haunt You,54,0.318,0.766,0.347,-11.727,0.475,0.467,0.522,0.152,1,7,78.675,251853,4,angry
7,7L77eB8vi2vpuqniEHqdzl,Let Me,Anxious,39,alternative emo,Little Green House,30,0.152,0.995,0.314,-4.836,0.234,0.000165,2.94e-05,0.71,0,11,186.301,161100,4,angry
8,3hJM1nhwJbOJu2VPWLwWsD,Big Pussy,BROCKHAMPTON,73,boy band,The Family,61,0.807,0.793,0.608,-8.326,0.399,0.435,0.0,0.439,0,11,93.707,140600,4,angry
9,28BW0WwfqqNFOnBnt2aR0l,Object Permanence,Arm's Length,42,alternative emo,"Never Before Seen, Never Again Found",42,0.327,0.92,0.464,-5.091,0.124,0.00755,6.98e-05,0.0438,1,3,141.989,229844,4,angry
